name_song,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genres
C'est extra,0.395,0.318,-12.365,0.0311,0.495,0.0196,0.0922,0.417,95.422,chanson
Est-ce ainsi que les hommes vivent ?,0.595,0.262,-14.195,0.138,0.557,0.0,0.13,0.452,123.784,chanson
Avec le temps,0.374,0.262,-12.98,0.0308,0.613,0.00793,0.137,0.155,110.303,chanson
Jolie môme,0.584,0.391,-12.507,0.0769,0.265,0.0,0.597,0.632,144.779,chanson
Il n'y a plus rien,0.432,0.743,-9.488,0.155,0.635,0.0104,0.123,0.482,131.773,chanson
Préface,0.441,0.805,-9.557,0.507,0.695,0.000854,0.131,0.617,78.578,chanson
L'affiche rouge,0.474,0.21,-10.507,0.0422,0.957,0.0,0.367,0.326,85.87,chanson
Elsa,0.626,0.13,-18.788,0.0662,0.856,0.0917,0.107,0.514,118.151,chanson
Je chante pour passer le temps,0.563,0.162,-15.698,0.0565,0.899,0.000113,0.119,0.395,116.436,chanson
Il n'aurait fallu,0.425,0.126,-15.906,0.0373,0.871,0.000302,0.146,0.206,112.373,chanson
Tu N'En Reviendras Pas,0.488,0.0843,-21.024,0.0648,0.963,0.0104,0.142,0.188,100.876,chanson
Le pont Mirabeau - Les années Odéon,0.202,0.0943,-18.453,0.0469,0.971,0.00534,0.15,0.256,185.869,chanson
Les anarchistes,0.372,0.454,-8.255,0.037,0.818,0.0,0.435,0.424,107.069,chanson
Ton Style,0.366,0.392,-9.775,0.037,0.915,0.0126,0.0766,0.175,82.176,chanson
Hawaii Nei,0.526,0.191,-19.983,0.0318,0.984,0.906,0.328,0.2,64.495,vintage hawaiian
כאב ואכזבות,0.518,0.594,-10.076,0.0378,0.401,5.6e-06,0.337,0.514,176.643,mizrahi
מלא עוד כוס חבר,0.441,0.547,-9.645,0.0315,0.177,4.28e-05,0.0715,0.401,169.712,mizrahi
נשרפתי,0.657,0.677,-12.043,0.0382,0.131,0.000298,0.127,0.735,105.143,mizrahi
חבר ואח,0.77,0.724,-5.743,0.0301,0.327,6.7e-05,0.107,0.513,107.98,mizrahi
